pid	round	stratum	verdict	note
002.0034	1	cur_only	PARTIAL	only 'we saw Boreel' echoed; walk with Collignon omitted
002.0264	2	retained	NO	Ermine coat passage absent
003.0065	2	add_sentence	PARTIAL	lesson prep, proverb, royal carriage, horseback
003.0169	1	neither_cand	NO	Mme de Daillens interruption omitted
004.0031	1	cur_only	PARTIAL	Behaved well, didn't blush; talked of him (EN377)
004.0242	1	new_only	YES	spread over EN421-423
005.0099	1	both	PARTIAL	Villa Durando sentences only; hopes about him omitted
007.0298	2	rm_long	NO	Tight boots / Quattro Stagioni hotel not rendered
008.0157	1	neither_cand	NO	Purse at Klein, Countess de Galve absent
008.0208	2	add_sentence	PARTIAL	went straight to Laferrière, dress ugly
008.0270	2	rm_short	UNSURE	Non-textual separator mark '|'; nothing to translate
010.0049	2	neither_sig	NO	EN1001 renders 010.0047; laughing/meet Gioia absent
010.0127	1	both	YES	Mama does honors; scoundrels; Gala dinners
010.0263	2	rm_long	NO	Wittgenstein musings not translated
012.0266	1	cur_only	NO	Carriage errands/talk with mama not rendered
013.0204	1	new_only	YES	had fun because no reason to be bored
013.0275	2	rm_short	YES	'Tomorrow!'
014.0118	2	retained	PARTIAL	Manby's ulsters/conspirators, dark blue ordered
016.0166	1	cur_only	NO	bench/Dina fragment absent
016.0207	2	neither_nosig	NO	Love declaration line absent on 02-07/02-09
016.0281	2	add_short	YES	'How unhappy I am today!'
016.0289	2	add_bracket	YES	Well dressed, nice manners, good taste
016.0308	1	new_only	NO	Rain ruins carnival not rendered
016.0380	1	new_only	NO	Garden walks fragment absent
016.0387	2	add_bracket	YES	sun took pity at 4:30
017.0047	1	cur_only	PARTIAL	Dina/Derwies concert kept; villa 55, Diadia, envy omitted
018.0083	2	neither_nosig	NO	Letter/Hôtel de la Méditerranée appointment absent
018.0214	2	neither_sig	YES	'I slept until noon'
018.0253	2	add_short	NO	5000 francs line absent
018.0276	1	cur_only	YES	They consent to go to-morrow
019.0234	2	neither_sig	NO	'Where?' carriage-driver exchange absent
020.0057	1	cur_only	NO	Debts line not rendered
020.0329	2	neither_nosig	NO	lament mood line absent
